Johtajat
Johtajat, ylimmat virkamiehet ja jarjestojen johtajat  
431;Palkanlaskijat, vakuutuskasittelijat ym.    
4311;Taloushallinnon toimistotyontekijat     
4312;Tilasto-, rahoitus- ja vakuutusalan toimistotyontekijat  
4313;Palkanlaskijat      
432;Kuljetuksen ja varastoinnin toimistotyontekijat   
4321;Varastonhoitajat ym.     
4322;Tuotannon valmistelijat     
4323;Kuljetuksen toimistotyontekijat     
43231;Raideliikenteen ohjaajat, ajojarjestelijat ym.   
43239;Muut kuljetuksen ja huolinnan toimistotyontekijat  
Muut toimisto- ja asiakaspalvelutyontekijat      
441;Muut toimisto- ja asiakaspalvelutyontekijat   
4411;Kirjastotyontekijat      
4412;Postinkantajat ja -lajittelijat     
44121;Postinkantajat      
44122;Toimistovahtimestarit      
4413;Koodaajat, oikolukijat ym.    
4414;Kirjurit ym.     
4415;Arkistotyontekijat      
4416;Henkilostohallinnon avustavat toimistotyontekijat    
4419;Muut muualla luokittelemattomat toimisto- ja asiakaspalvelutyontekijat 
Palvelu- ja myyntityontekijat  
Palvelutyontekijat 
511;Matkustuspalvelutyontekijat, konduktoorit ja oppaat   
5111;Lentoemannat, purserit ym.    
5112;Konduktoorit, lipuntarkastajat ym.    
5113;Matkaoppaat      
512;Ravintola- ja suurtaloustyontekijat    
51201;Kokit, keittajat ja kylmakot   
51202;Ravintolaesimiehet ja vuoropaallikot    
513;Tarjoilutyontekijat      
5131;Tarjoilijat      
5132;Baarimestarit      
514;Kampaajat, parturit, kosmetologit ym.   
5141;Kampaajat ja parturit    
5142;Kosmetologit ym.     
515;Kiinteistohuollon ja siivoustyon esimiehet   
5151;Siivoustyon esimiehet toimistoissa, hotelleissa ja muissa laitoksissa
5152;Yksityiskotien taloudenhoitajat     
5153;Kiinteistohuollon tyontekijat     
516;Muut henkilokohtaisen palvelun tyontekijat   
5161;Astrologit, ennustajat ym.    
5162;Henkilokohtaiset palvelijat     
5163;Hautauspalvelutyontekijat      
51631;Hautaustoimistonhoitajat ym.     
51632;Muut hautaustyontekijat     
5164;Elaintenhoitajat ja lemmikkielainten trimmaajat   
5165;Ajo-opettajat      
5169;Muualla luokittelemattomat henkilokohtaisen palvelun tyontekijat  
Myyjat, kauppiaat ym.   
521;Katu- ja torikauppiaat    
5211;Kioski- ja torimyyjat    
5212;Katumyyjat (elintarvikkeet)     
522;Myyjat ja kauppiaat    
5221;Kauppiaat (pienyrittajat)     
5222;Myymalaesimiehet      
5223;Myyjat      
523;Kassanhoitajat ja lipunmyyjat    
524;Muut myyntityontekijat     
5241;Mallit      
5242;Tuote-esittelijat      
5243;Suoramyyjat      
5244;Puhelin- ja asiakaspalvelukeskusten myyjat   
5245;Huoltamotyontekijat      
5246;Kahvila- ja baarimyyjat    
5249;Muut muualla luokittelemattomat myyntityontekijat   
Hoivapalvelun ja terveydenhuollon tyontekijat 
531;Lastenhoitajat ja koulunkayntiavustajat    
5311;Lastenhoitotyontekijat      
53111;Paivakotien ja muiden laitosten lastenhoitajat ym. 
53112;Perhepaivahoitajat      
53113;Lastenkerhojen ohjaajat ym.    
5312;Koulunkayntiavustajat      
532;Lahihoitajat, muut terveydenhuollon tyontekijat ja kodinhoitajat 
5321;Lahihoitajat      
53211;Mielenterveyshoitajat      
53212;Kehitysvammaisten hoitajat     
53213;Sosiaalialan hoitajat     
53219;Muut lahihoitajat     
5322;Kodinhoitajat (kotipalvelutoiminta)     
53221;Kotityopalvelutyontekijat      
53222;Henkilokohtaiset avustajat, omaishoitajat ym.   
5329;Muut terveydenhuoltoalan tyontekijat    
53291;Hammashoitajat      
53292;Valinehuoltajat      
53293;Apteekkien laaketyontekijat     
53294;Hierojat ja kuntohoitajat    
Suojelu- ja vartiointityontekijat  
541;Suojelu- ja vartiointityontekijat    
5411;Palomiehet      
5412;Poliisit      
5413;Vanginvartijat      
5414;Vartijat      
5419;Muut suojelu- ja vartiointityontekijat   
Maanviljelijat, metsatyontekijat ym.     
Maanviljelijat ja elaintenkasvattajat ym.     
611;Pelto- ja puutarhaviljelijat    
6111;Pelto- ja avomaaviljelijat    
61111;Peltoviljelijat      
61112;Peltoviljelytyonjohtajat ja -tyontekijat     
6112;Hedelmapuiden ja pensaiden yms. kasvattajat  
6113;Puutarhurit, kasvihuoneviljelijat ja -tyontekijat    
61131;Puutarhurit ja kasvihuoneviljelijat    
61132;Puutarha- ja kasvihuonetyonjohtajat ja - tyontekijat 
6114;Yhdistetyn maan- ja vihannesviljelyn tai puutarhanhoidon ym. Harjoittajat
612;Elaintenkasvattajat      
6121;Liha- ja lypsykarjan kasvattajat seka muiden kotielainten kasvattajat
61211;Karjankasvattajat ym.     
61212;Karjanhoitajat ym.     
61213;Lemmikkielainten kasvattajat     
61214;Maatalouslomittajat      
6122;Siipikarjankasvattajat      
6123;Mehilaistenhoitajat ym.     
6129;Muut elainten kasvattajat ja hoitajat  
61291;Turkiselainten ja porojen kasvattajat   
61299;Muualla luokittelemattomat elaintenhoitajat    
613;Yhdistetyn maanviljelyn ja elaintenkasvatuksen harjoittajat  
Metsa- ja kalatalouden tyontekijat  
621;Metsurit ja metsatyontekijat    
622;Kalanviljelijat, kalastajat ja metsastajat   
6221;Kalanviljelijat ja -viljelytyontekijat     
62211;Kalanviljely-yrittajat      
62212;Kalanviljelytyonjohtajat ja -tyontekijat     
6222;Kalastajat      
6223;Syvanmerenkalastajat      
6224;Riistanhoitajat ja metsastajat    
 Kotitarveviljelijat, -kalastajat ja -metsastajat  
631;Kotitarveviljelijat      
632;Kotitarvekarjankasvattajat      
633;Kotitarveviljelijat ja -karjankasvattajat     
634;Kotitarvekalastajat ja -metsastajat     
Rakennus-, korjaus- ja valmistustyontekijat     
Rakennustyontekijat ym. (pl. sahkoasentajat)  
711;Rakennustyontekijat ym.     
7111;Talonrakentajat      
7112;Muurarit ym.     
7113;Kivenhakkaajat ja -leikkaajat  ym.   
7114;Betonirakentajat ja raudoittajat    
7115;Kirvesmiehet ja rakennuspuusepat    
7119;Muut rakennustyontekijat     
712;Rakennusten viimeistelytyontekijat     
7121;Kattoasentajat ja -korjaajat     
7122;Lattianpaallystystyontekijat      
7123;Rappaajat      
7124;Eristajat      
7125;Lasinasentajat      
7126;Putkiasentajat      
7127;Ilmastointi- ja jaahdytyslaiteasentajat    
713;Maalarit ja rakennuspuhdistajat    
7131;Rakennusmaalarit ym.     
7132;Ruiskumaalaajat ja -lakkaajat     
7133;Rakennuspuhdistajat ja nuohoojat    
Konepaja- ja valimotyontekijat seka asentajat ja korjaajat 
721;Valimotyontekijat, hitsaajat, levysepat ym.   
7211;Muotin- ja keernantekijat    
7212;Hitsaajat ja kaasuleikkaajat    
7213;Ohutlevysepat      
7214;Paksulevysepat ja rautarakennetyontekijat    
7215;Kaapelin- ja koysienasentajat    
722;Sepat, tyokaluntekijat ja koneenasettajat   
7221;Sepat      
7222;Tyokaluntekijat ja lukkosepat    
7223;Koneenasettajat ja koneistajat    
7224;Konehiojat, kiillottajat ja teroittajat   
723;Koneasentajat ja -korjaajat     
7231;Moottoriajoneuvojen asentajat ja korjaajat   
7232;Lentokoneasentajat ja -korjaajat     
7233;Maatalous- ja teollisuuskoneasentajat ja -korjaajat   
7234;Polkupyorankorjaajat ym.     
Kasityotuotteiden valmistajat, hienomekaanikot seka painoalan tyontekijat    
731;Kasityotuotteiden valmistajat ja hienomekaanikot   
7311;Kellosepat ja muut hienomekaanisten instrumenttien tekijat ja korjaajat
7312;Soittimien tekijat ja virittajat   
7313;Koru-, kulta- ja hopeasepat   
7314;Saven- ja tiilenvalajat ja dreijaajat  
7315;Lasinpuhaltajat,  -leikkaajat, -hiojat  ja -viimeistelijat   
7316;Kaivertajat, etsaajat ja koristemaalarit   
7317;Puu-, kori- yms. kasityotuotteiden tekijat  
7318;Tekstiili-, nahka- yms. kasityotuotteiden tekijat  
7319;Muut kasityontekijat     
732;Painoalan tyontekijat     
7321;Painopinnanvalmistajat      
7322;Painajat      
7323;Jalkikasittelijat ja sitomotyontekijat    
Sahko- ja elektroniikka-alan tyontekijat    
741;Sahkolaitteiden asentajat ja korjaajat   
7411;Rakennussahkoasentajat      
7412;Muut sahkoasentajat     
7413;Linja-asentajat ja -korjaajat     
742;Elektroniikka- ja tietoliikenneasentajat ja -korjaajat   
7421;Elektroniikka- ja automaatiolaitteiden asentajat ja korjaajat 
74211;Elektroniikka-asentajat ja -korjaajat     
74212;Automaatioasentajat ja -korjaajat     
7422;Tieto- ja viestintateknologian asentajat ja korjaajat 
Elintarvike-, puutyo- ja vaatetus- ja jalkinealan valmistustyontekijat ym. 
751;Lihanleikkaajat, leipurit, meijeristit ym.   
7511;Lihanleikkaajat, kalankasittelijat ym.    
7512;Leipurit ja kondiittorit    
7513;Meijeristit, juustomestarit ym.    
7514;Hedelma- ja vihannestuotteiden valmistajat   
7515;Ruokien ja juomien laaduntarkkailijat   
7516;Tupakkatuotteiden valmistajat     
752;Puutavaran kasittelijat, puusepat ym.   
7521;Raakapuun kasittelijat     
7522;Huonekalupuusepat ym.     
7523;Konepuusepat      
753;Vaatetusalan tyontekijat ym.    
7531;Vaatturit, pukuompelijat, turkkurit ja hatuntekijat  
7532;Leikkaajat ja mallimestarit    
7533;Koru- ja muut tekstiiliompelijat   
7534;Verhoilijat      
7535;Turkisten muokkaajat ja nahkurit   
7536;Suutarit ym.     
754;Muut paaluokkaan 7 luokiteltavat tyontekijat  
7541;Vedenalaistyontekijat      
7542;Panostajat ja rajayttajat    
7543;Luokittelijat ja laaduntarkkailijat (pl. ruoat ja juomat)
7544;Savupuhdistajat, tuholais- ja rikkakasvintorjujat   
7549;Muut paaluokkaan 7 muualla luokittelemattomat tyontekijat 
Prosessi- ja kuljetustyontekijat  
Prosessityontekijat   
811;Kaivos- ja louhintatyon koneenkayttajat   
8111;Kaivos- ja louhostyontekijat    
8112;Rikastustyontekijat      
8113;Iskuporaajat ja syvakairaajat    
8114;Betonituote- ym. teollisuuden prosessityontekijat   
812;Metalliteollisuuden prosessityontekijat ja viimeistelijat   
8121;Metalliteollisuuden prosessityontekijat     
8122;Metallien teolliset paallystajat ja viimeistelijat  
813;Kemianteollisuuden ja valokuvatuotteiden valmistuksen prosessityontekijat  
8131;Kemianteollisuuden prosessityontekijat ym.    
8132;Valokuvatuotteiden valmistuksen prosessityontekijat    
814;Kumi-, muovi- ja paperituotteiden valmistuksen prosessityontekijat 
8141;Kumituoteteollisuuden prosessityontekijat     
8142;Muovituoteteollisuuden prosessityontekijat     
8143;Paperituoteteollisuuden prosessityontekijat     
815;Tekstiili-, turkis- ja nahkatuoteteollisuuden prosessityontekijat  
8151;Kuitujenkasittely-, kehruu- ja puolauskoneiden hoitajat  
8152;Kutoma- ja neulekoneiden hoitajat   
8153;Teollisuusompelijat      
8154;Valkaisu-, varjays- ja puhdistuskoneiden hoitajat  
8155;Turkisten ja nahkojen teolliset kasittelijat, varjaajat ym.
8156;Jalkine- ja laukkuteollisuuden prosessityontekijat   
8157;Pesulatyontekijat      
8159;Muut tekstiili-, turkis- ja nahkatuoteteollisuuden prosessityontekijat 
816;Elintarviketeollisuuden prosessityontekijat     
817;Sahatavaran seka paperin ja kartongin valmistuksen prosessityontekijat
8171;Paperimassan seka paperin ja kartongin valmistuksen prosessityontekijat
8172;Puu- ja sahatavaran prosessityontekijat   
818;Muut prosessityontekijat     
8181;Lasi- ja keramiikkateollisuuden uunienhoitajat   
8182;Hoyrykoneiden ja lammityskattiloiden hoitajat, lammittajat ym. 
81821;Voima- ja jatteenkasittelylaitosten laitosmiehet   
81822;Muut laitosmiehet ym.    
8183;Pakkaus-, pullotus- ja etikointikoneiden hoitajat  
8189;Muut muualla luokittelemattomat prosessityontekijat   
Teollisuustuotteiden kokoonpanijat       
821;Teollisuustuotteiden kokoonpanijat     
